Domaine;Titre;Sous_Titre;Référence_Reglementaire;ID_Article;Exigence;Documents_Justificatif;Lien_1;Lien_2;Lien_3;Lien_4;Derniere_verification_JO
Autorisations et gouvernance Environnementales;Taxes et frais environnementaux;Taxe des activités polluantes ou dangereuses.;"Décret exécutif n ° 09-336 sur la taxe sur les activités polluantes et dangereuses pour l environnement; Art. 3";3;Si l installation exploite ou transporte des produits ou activité dangereuse pour environnement, il paie la taxe pour les activités polluantes ou dangereuses.;Recettes pour le paiement de l impôt sur les activités polluantes et dangereuses;1.3;0;0;0;11/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Autorisation d exploitation pour ICPE de catégorie 1,2 et 3;"1.4. Loi n° 03-10 du 19 juillet 2003 relative à la protection de l´environnement dans le cadre du développement durable art.19  Décret exécutif n ° 07-144 du 19 mai 2007 sur la nomenclature des établissements classées; Annexe  Décret exécutif n° 24-197 art.2 modifiant art.44 du 06-198";19;"Si l installation appartient à l une des trois premiéres catégories de ""établissements classées"" en fonction de la nomenclature d installation classéee, il doit obtenir une  autorisation d'exploitation avant de commencer son activité.";Autorisation d exploitation;1.4;1.4.1;1.4.2;1.4.3;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Autorisation d exploitation pour ICPE de catégorie  4;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 24 Décret exécutif n ° 07-144 du 19 mai 2007 sur la nomenclature des établissements classées; Annexe";24;La déclaration d'exploitation d'un Ètablissement classÈ de quatriËme catÈgorie est adressÈe au prÈsident de líassemblÈe populaire communale territorialement compÈtent, soixante (60) jours au moins avant sa mise en exploitation;La déclaration d'exploitation;1.4.2;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Régularisation des ICPE;Décret exécutif n° 24-197 art.2 modifiant art.44 du 06-198;44;Art. 44. — Tout exploitant d'un établissement classé existant n'ayant pas fait l'objet d'autorisation ou de déclaration d'exploitation, doit procéder à la régularisation de sa situation, dans un délai n'excédant pas trois (3) ans, à compter de la date de promulgation du présent décret. (mi 2024);Autorisation d exploitation;1.4.3;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Modification des ICPE;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 38 Décret exécutif n ° 07-144 du 19 mai 2007 sur la nomenclature des établissements classées; Annexe";38;Si l installation a effectué des modifications en vue pour modifier le processus de production, ou pour transformer l équipement ou étendre l activité, une nouvelle autorisation ou déclaration d exploitation en fonction de la catégorie de l établissement classée est requise;Autorisation d exploitation;1.4.2;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Modification des ICPE;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 39 Décret exécutif n ° 07-144 du 19 mai 2007 sur la nomenclature des établissements classées; Annexe";39;Tout transfert d'un Ètablissement classé ou d'une installation classÈe sur un autre emplacement nÈcessite une nouvelle demande d'autorisation díexploitation d'Ètablissement classÈ ou une nouvelle dÈclaration.;Autorisation de d'exploitation ;1.4.2;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Modification des ICPE de catégorie 4;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 27";27;Si l installation appartient à la 4e catégorie des «établissements classées» et effectue des modifications, ou des modifications de son fonctionnement, de sa production ou de son fonctionnement, il a soumis une déclaration complémentaire (complémentaire de la décompte).;"Déclaration complémentaire des modifications ou modifications de l opération ou de la production de la 4e catégorie d un ""établissement classée""";1.4.2;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Contenue de l'arreté de  l'autorisation d'exploitation;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 21";21;L arreté d autorisation d exploitation de l Ètablissement classé fixe les prescriptions techniques spécifiques de nature à prévenir, réduire et/ou supprimer les pollutions, les nuisances et les dangers générés par l'Ètablissement classÈ sur líenvironnement.;nan;1.4.2;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Etude de danger;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 5  Décret exécutif n ° 07-144 du 19 mai 2007 sur la nomenclature des établissements classées; -";5;Toute demande d autorisation d exploitation d un etablissement classé est precedée, selon le cas et conformément ‡ la nomenclature des installations classées : - d une etude ou d une notice d impact sur l environnement établie et approuvée selon les conditions fixées par la réglementation en vigueur, - d une étude de danger établie et approuvée selon les conditions fixées par le présent décret, - d une enqu te publique effectuée conformément aux modalités fixées par la réglementation en vigueur;#NOM?;1.4.2;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;rapport de produit dangereux;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 9";9;Pour les Ètablissements classÈs pour lesquels la nomenclature des installations classÈes ne prÈvoit pas díÈtude de danger, le dossier de demande doit toutefois comporter un rapport sur les produits dangereux quíil est susceptible de dÈtenir de maniËre ‡ apprÈcier les risques envisageables;Rapport des produits dangereux;1.4.2;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Etude  d impact environnemental;"Loi 03-10 du 19 juillet 2003 sur la protection de l environnement dans la perspective du développement durable; Art. 15 et art. 16 Décret exécutif n ° 07-145 du 19 mai 2007 sur la détermination de la portée, le contenu et les termes d approbation de l évaluation de l impact environnemental; Art. 3, 6, annexe1";15;Si l installation entreprend une activité répertoriée à l annexe 1 du décret exécutif n ° 07-145 de 2007 sur la détermination de la portée, le contenu et les termes d approbation de l évaluation de l impact environnemental ou une activité qui nécessite une évaluation de l impact environnemental en fonction de la nomenclature d installation classéee, elle a effectué une évaluation de l impact environnemental.;Etude  de l impact environnemental;1.4.4;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Notice  d impact environnemental;"Loi 03-10 du 19 juillet 2003 sur la protection de l environnement dans la perspective du développement durable; Art. 15 et art. 16 Décret exécutif n ° 07-145 du 19 mai 2007 sur la détermination de la portée, le contenu et les termes d approbation de l évaluation de l impact environnemental; Art. 6, annexe 2";15;S il entreprend une activité répertoriée à l annexe 2 du décret exécutif n ° 07-145 du 19 mai 2007 sur les exigences de portée, de contenu et d approbation des évaluations et des déclarations d impact environnemental, ou une activité qui nécessite un énoncé d impact environnemental selon la nomenclature d installation classéee, l installation a préparé un énoncé d impact environnemental.;Notice  d impact environnemental;1.4.4;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;audit environnemental;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 44";44;Si l installation existante appartient au groupe d établissements classées mais n a pas d autorisation opérationnelle, ou si son autorisation opérationnelle ne correspond à aucune catégorie d établissements classées, il a effectué un audit environnemental.;Autorisation de fonctionnement$Rapport d audit environnemental;1.4.2;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation;Hygiene générale de l établissement;"Loi n ° 85-05 du 16 février 1985 sur la protection et la promotion de la santé; Art. 40";40;L'occupation de maisons d'habitation, des édifices à caractères public, la mise en service des entreprises industrielles et toutes autres installations, sont subordonnées, pour les normes d'hygiène et de salubrité définies par la réglementation.;Autorisation relative à la conformité avec les normes d hygiéne et de sécurité;1.5;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation pour la production ou l activité de recherche impliquant des explosifs;Production de produit explosives;"Décret présidentiel 90-198 du 30 juin 1990 sur les explosifs; Art. 8";8;"Outre les dispositions légales et réglementaires en vigueur, toute création d'établissement de production de substances explosives est soumise à autorisation.
Cette autorisation est délivrée par décret exécutif, sur rapport du ministre chargé des mines et après avis du ministère de la défense
nationale.
Les conditions d'implantation, d'aménagement et d'exploitation de l'établissement de production sont soumises a un agrément technique du ministre chargé des mines, délivré sur la base d'une étude de sécurité et après avis du ministre de l'intérieur et du ministre chargé de l'environnement.";Autorisation pour la production ou l activité impliquant des explosifs;1.6;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation pour la production ou l activité de recherche impliquant des explosifs;Recherche impliquant des explosif;"Décret présidentiel 90-198 du 30 juin 1990 sur les explosifs; Art. 7";7;" Les travaux de recherches sur les substances explosives, qu'elles soient ou non destinés à être utilisées pour les effets de leur explosion, doivent en avoir préalablement reçu l'autorisation.
Cette autorisation, délivrée par décision du ministre chargé de la recherche scientifique, est notifiée au ministre de la défense
nationale, au ministre chargé de l'environnement, au ministre de l'intérieur et au ministre chargé des mines.";Autorisation de recherche impliquant des explosifs;1.6;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d’aquisition des produit dangereux;Aquisition locale des produits dangereux;Arrêté interministériel du 21 Chaâbane 1435 correspondant au 19 juin 2014 fixant les conditions et modalités d'acquisition sur le marché national des matières et produits chimiques dangereux par les personnes physiques ou morales dont les activités professionnelles ou personnelles nécessitent l'emploi de matières et/ou de produits chimiques dangereux de manière ponctuelle, circonstancielle et/ou accessoire.art 2;2;L'acquisition sur le marché national des matières et produits chimiques dangereux par les personnes physiques ou morales dont les activités professionnelles ou personnelles nécessitent l'emploi de ces matières et/ou produits de manière ponctuelle, circonstancielle et/ou accessoire, est subordonnée à une autorisation délivrée par le wali du lieu d'activité pour les personnes physiques, ou du siège social pour les personnes morales, après avis des services de sécurité et de la protection civile.;Autorisation d aquisition locale des produits chimiques et des matériaux dangereux ainsi que des conteneurs de gaz sous pression;1.7.1;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d’aquisition des produit dangereux;Mouvement des produits dangereux;Arrêté interministériel du 21 Chaâbane 1435 correspondant au 19 juin 2014 fixant les conditions et modalités d'acquisition sur le marché national des matières et produits chimiques dangereux par les personnes physiques ou morales dont les activités professionnelles ou personnelles nécessitent l'emploi de matières et/ou de produits chimiques dangereux de manière ponctuelle, circonstancielle et/ou accessoire.art 9 a 12;9 à 12;"Chaque mouvement de produits chimiques dangereux doit être validé par le cachet humide de l'opérateur sur l'autorisation d'acquisition, avec un reporting mensuel obligatoire transmis par la wilaya aux autorités compétentes. art 9,11
En cas de livraison partielle, l'acheteur peut utiliser le solde restant chez d'autres opérateurs, tandis que toute cessation d'activité impose une notification immédiate pour régulariser les stocks restant art 12";"Autorisation d'aquisition avec cachet humide de fournisseur
les rapport de stock mensuel";1.7.1;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d’aquisition des produit dangereux;habilitation du personnel affecté aux tâches de stockage des matières et produits chimiques dangereux ainsi que les récipients de gaz sous pression.;Arrêté interministériel du 10 Ramadhan 1435 correspondant au 8 juillet 2014 fixant les conditions et modalités d'habilitation du personnel affecté aux tâches de stockage des matières et produits chimiques dangereux ainsi que les récipients de gaz sous pression. art 2;2;L'habilitation du personnel affecté aux tâches de stockage des matières et produits chimiques dangereux, visée par le wali, est délivrée par la direction chargée de l'énergie de la wilaya du lieu de stockage des matières et produits chimiques dangereux, après avis favorable des services de sécurité et de la direction chargée de l'industrie territorialement compétents.;L'habilitation du personnel ;1.7.2;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d’aquisition des produit dangereux;Liste des produit chimique dangereux soumis a autorisation;Arrêté interministériel du 13 Dhou El Hidja 1445 correspondant au 19 juin 2024 modifiant l'arrêté interministériel du 13 Safar 1437 correspondant au 5 novembre 2015 fixant la liste et la classification des matières et produits chimiques dangereux Art 1;1;"La liste des matières et produits chimiques dangereux annexée à l'original de l'arrêté interministériel du 13 Safar 1437 correspondant au 25 novembre 2015 susvisé, est remplacée par la liste annexée à l’original du présent arrêté.
La liste des matières et produits chimiques dangereux est rendue publique par les services compétents du ministère chargé de l’énergie. ";Liste des produits chimique soumis a autorisation;1.7.3;1.7.3 BIS;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d’aquisition des produit dangereux;Aquisition des engrais produit phytosanitaire àusage agricole produit paramédicaux et toxique;Décret exécutif n° 10-19 du 26 Moharram 1431 correspondant au 12 janvier 2010 modifiant et complétant le décret exécutif n° 03-451 du 7 Chaoual 1424 correspondant au 1er décembre 2003 définissant les règles de sécurité applicables aux activités portant sur les matières et produits chimiques dangereux ainsi qu'aux récipients de gaz sous pression. Art 11;11;"L’acquisition sur le marché national des engrais, des produits phytosanitaires à usage agricole, des produits paramédicaux et des produits toxiques ou présentant un risque particulier et contenant des matières figurant sur la liste prévue à l’article 2 ci-dessus, obéit aux dispositions particulières fixées par arrêté conjoint des ministres chargés de l’intérieur, de la défense nationale, de l’énergie et des mines et du ministre concerné.
Arrêté inter du 07 Mars 2016 JO N° 9 du 12 Février 2017, Page 16 Fixant les conditions et modalités d'acquisition, sur le marché national, des produits paramédicaux et des produits toxiques ou présentant un risque particulier et contenant des matières et produits chimiques dangereux.";Autorisation d'aquisition ;1.7.4;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d’aquisition des produit dangereux;Agrément d'aquisition de produit dangereux;"Arrêté inter du 08 Juillet 2014,JO N° 23 du 06 Mai 2015, Page 18nFixant les conditions et modalités de délivrance de l'agrément des opérateurs pournl'exercice des activités nécessitant l'emploi des matières et produitsnchimiques dangereux ainsi que les récipients de gaz sous pression modifié par Arrêté inter du 29 Décembre 2016 JO N° 3 du 18 Janvier 2017, Page 15
Modifiant et complétant l'arrêté interministériel du 10 Ramadhan 1435 correspondant au 8 juillet 2014 fixant les conditions et modalités de délivrance de l'agrément des opérateurs pour l'exercice des activités nécessitant l'emploi des matières et produits chimiques dangereux ainsi que les récipients de gaz sous pression. art 14";14;Les personnes physiques ou morales exerçant, conformément à la législation et à la réglementation en vigueur, des activités professionnelles portant sur des matières et produits chimiques dangereux ainsi que les récipients de gaz sous pression, sont autorisées à poursuivre leurs activités, elles sont tenues, toutefois, de se conformer aux dispositions du présent arrêté avant le 31 décembre 2017.;agrément ;1.7.5;1.7.5 BIS;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Autorisation d exploitation; régles générales pour la prévention des risques d incendie et de panique ;"Loi n ° 19-02 pour les régles générales pour la prévention des risques d incendie et de panique; Article 23";23; L’exploitation des établissements recevant du public et immeubles de grande et de très grande hauteurs, en fonction de leur classement, est soumise à une autorisation délivrée par le wali, territorialement compétent, après avis de la commission de prévention des risques d’incendie et de panique ;Permis de construction;0;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Permis de construction;Obligation de disposer d'un permis de construire;"Loi  90-29 du 1er décembre 1990 sur le développement urbain et la planification des pays; Art. 52
 Loi n ° 08-15 du 20 juillet 2008 sur les régles de conformité des bâtiments; Art. 6
 Décret exécutif n ° 15-19 du 25 janvier 2015 établissant les procédures de préparation et de permis liées aux activités de construction; Art. 41; Art. 42; Art. 43; Art. 44";41,44;Toute nouvelle construction ou transformation de construction dont les travaux portent sur le changement de : l'emprise au sol, le gabarit, la façade, la vocation ou la destination, la structure porteuse et les réseaux collectifs traversant la propriété, est subordonnée à la possession d'un permis de construire, conformément aux dispositions des articles 49, 52 et 55 de la loi n° 90-29 du 1er décembre 1990, susvisée, et dans le respect de l'article 1er du présent décret.;Permis de construction;1.9.3;1.9.1;1.9.2;0;17/07/2026
Autorisations et gouvernance Environnementales;Permis de construction;Le permis de démolir;"Law 90-29 du 1er décembre 1990 sur le développement urbain et la planification des pays; Art. 60";60;Le permis de démolir est exigé pour toute démolition totale ou partielle d'une construction dans les territoires visés à l'article 46 ci-dessus, ou chaque fois que les conditions techniques et de sécurité le commandent;Permis de démolition;0;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Permis de construction;Certificat de conformité de batiment;"Décret exécutif n ° 09-154 du 2 mai 2009 sur les procédures de déclaration de conformité pour les bâtiments; Art. 3 
Loi n ° 08-15 du 20 juillet 2008 sur les régles de conformité des bâtiments; Art. 14 
Décret exécutif n ° 15-19 du 25 janvier 2015 établissant les procédures de préparation et de permis liées aux activités de construction; Art. 66";3;"À l'achèvement des travaux, le bénéficiaire du permis de construire doit déclarer l'achèvement de la construction (ou déposer le procès-verbal de réception établi par le CTC, selon le type de construction) auprès de l'Assemblée populaire communale dans un délai de 30 jours. Une commission procède ensuite au contrôle de conformité afin de vérifier que la construction est conforme au permis de construire, notamment en ce qui concerne l'implantation, le gabarit, la destination (vocation) et les façades.

Lorsque les travaux sont reconnus conformes, le président de l'Assemblée populaire communale délivre un certificat de conformité, qui atteste que la construction est réalisée conformément au permis de construire et aux dispositions réglementaires applicables. Ce certificat constitue la preuve officielle de la conformité de la construction.";Certificat de conformité du bâtiment;1.9.4;1.9.2;1.9.3;0;17/07/2026
Autorisations et gouvernance Environnementales;Permis de construction;0;"Décret exécutif n ° 15-19 du 25 janvier 2015 établissant les procédures de préparation et de permis liées aux activités de construction; Art. 60";60;Le bénéficiaire des travaux doit afficher, pendant toute la durée du chantier, un panneau réglementaire visible de l'extérieur indiquant notamment les références du permis de construire, la nature de la construction, la hauteur, la superficie du terrain, les dates d'ouverture et de fin prévisionnelle des travaux ainsi que, le cas échéant, le nom du maître d'ouvrage, du bureau d'études et de l'entreprise de réalisation.;Panneau de chantier ;1.9.3;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Audits energitique;Seuil  de consommation pour audit energitique;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l audit énergétique des établissements de consommation d énergie élevés; Art. 10-13";10,13;"Art. 10. – Sont soumis à l'obligation d'audit énergétique tous les établissements industriels, de transport et du tertiaire, quelles que soient leur nature juridique ou leur activité dès lors que leur consommation annuelle d'énergie atteigne les seuils fixés aux articles 11, 12 et 13 ci-dessous.

Art. 11. – Les établissements industriels dont la consommation annuelle totale d'énergie est égale ou supérieure à 2 000 tonnes équivalent pétrole (tep) sont assujettis à l'obligation d'audit énergétique.

Art. 12. – Les établissements de transport dont la consommation annuelle totale d'énergie est égale ou supérieure à 1 000 tonnes équivalent pétrole (tep) sont assujettis à l'obligation d'audit énergétique.

Art. 13. – Les établissements du secteur tertiaire dont la consommation annuelle totale d'énergie est égale ou supérieure à 500 tonnes équivalent pétrole (tep) sont assujettis à l'obligation d'audit énergétique.";Rapport d audit énergétique;1.10;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Audits energitique;Obligation de réalisation d'audit energitique;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l audit énergétique des établissements de consommation d énergie élevés; Article (16)";15;L'établissement dont les consommations énergétiques constatées durant les 5 derniere année  (ou déclarées pour un établissement neuf) atteignent les seuils réglementaires doit réaliser un  audit énergétique.;Document sur la consommation d énergie annuelle Rapport à l Agence nationale pour la promotion et la rationalisation de la consommation d énergie (APRUE) sur le niveau de consommation annuelle de la société de la société;1.10;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Audits energitique;Déclaration APRUE;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l audit énergétique des établissements de consommation d énergie élevés; Article (16).";16;Tout établissement assujetti au sens des articles 11, 12, 13, 15 et 18 du présent décret est tenu de se déclarer à l'Agence pour la promotion et la rationalisation de l'utilisation de l'énergie.;Déclaration Aprue;1.10;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Audits energitique;Responsable chargé de la gestion de l'énergie ;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l audit énergétique des établissements de consommation d énergie élevés; Article (17)";17;Les établissements assujettis doivent désigner chacun un responsable chargé de la gestion de l'énergie pour assurer, notamment, le suivi des diagnostics énergétiques de l'établissement et la mise en œuvre éventuelle des actions de rational;nommination de responsable energitique;1.10;0;0;0;17/07/2026
Autorisations et gouvernance Environnementales;Audits energitique;rapport d'audit;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l audit énergétique des établissements de consommation d énergie élevés; Article 18";18;"Tout établissement assujetti est tenu de faire effectuer, à ses frais, périodiquement, par un bureau d'audit énergétique agréé, un audit énergétique tel que défini à l'article 4 du présent décret.

La périodicité de l'audit énergétique est fixée à trois (3) ans pour les établissements industriels et de transport et à cinq (5) ans pour les établissements du tertiaire.";Rapport sur l audit énergétique Document sur la consommation d énergie annuelle;1.10;0;0;0;17/07/2026
Air;Généralités;prescription technique;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l atmosphére et les conditions de leur contrôle.; Art. 4";4;L'établissement doit concevoir, construire et exploiter les installations générant des rejets atmosphériques de manière à éviter, prévenir ou réduire ces rejets à la source, et à respecter les valeurs limites d'émission réglementaires.;"Documentation technique de l'installation
Enregistrements de surveillance des émissions";2.1;0;0;0;18/07/2026
Air;Généralités;prescription technique;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l atmosphére et les conditions de leur contrôle.; Art. 5";5;L'établissement doit identifier les rejets atmosphériques et les capter au plus près de leur source d'émission.;"Documentation technique de l'installation
Enregistrements de surveillance des émissions";2.1;0;0;0;18/07/2026
Air;Généralités;prescription technique;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l atmosphére et les conditions de leur contrôle.; Art. 6";6;L installation garantit que le nombre de points d émission ou l emplacement des décharges atmosphériques est aussi faible que possible;"Documentation technique de l'installation
Enregistrements de surveillance des émissions";2.1;0;0;0;18/07/2026
Air;Généralités;prescription technique;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l atmosphére et les conditions de leur contrôle.; Art. 7";7;Si l installation traite ses émissions, les installations de traitement sont conçues, exécutées et entretenues de maniére à réduire au minimum les périodes où elles ne peuvent pas fonctionner à pleine capacité.;"Documentation technique de l'installation
Enregistrements de surveillance des émissions";2.1;0;0;0;18/07/2026
